Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Kenny Troutt,1.5,United States,telecom,2035,73,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Southern Illinois University",True
John Van Lieshout,1.5,Australia,real estate,2035,75,"Brisbane, Australia",Australia,Married,3,"Diploma, High School",True
Radha Vembu,1.5,India,business software,2035,48,"Chennai, India",India,Married,1,"Bachelor of Arts/Economics, Indian Institute of Technology Madras (IIT Madras)",False
Wang Huiwen,1.5,China,e-commerce,2035,43,"Dalian, China",China,,,"Bachelor of Science in Engineering, Tsinghua University",True
Wang Wenbiao,1.5,China,"natural gas, fertilizers",2035,64,"Beijing, China",China,,,,True
Wang Yaohai,1.5,China,lighting,2035,54,"Shanghai, China",China,Married,,,True
Wang Zelong,1.5,China,chemicals,2035,24,"Jiaozuo, China",China,Married,,,False
Wang Zhentao & family,1.5,China,vaccine & shoes,2035,55,"Wenzhou, China",China,Married,2,,True
Wen Yilong,1.5,China,e-cigarettes,2035,32,"Beijing, China",China,,,,True
Thomas Wu,1.5,Taiwan,finance,2035,71,"Taipei, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, Fu Jen Catholic University; Master of Business Administration, University of California, Los Angeles",False
Wu Zhenxing,1.5,China,soy sauce,2035,51,"Foshan, China",China,,,,True
Xiang Guangming & family,1.5,China,waste disposal,2035,57,"Wenzhou, China",China,Married,,,True
Xu Gang,1.5,China,Chemicals,2035,58,"Jiaozuo, China",China,,,,True
Xu Wanmao,1.5,China,education,2035,76,"Ningbo, China",China,,,,True
Jane Yan & family,1.5,China,software,2035,51,"Beijing, China",China,Married,,"Bachelor of Arts/Science, Fudan University; Doctorate in Pedagogical Sciences, University of Pennsylvania",True
Ye Cheng,1.5,China,conglomerate,2035,59,"Rizhao, China",China,,,,True
Yi Dasheng,1.5,China,conglomerate,2035,60,"Changsha, China",China,,,,True
Yu Rong,1.5,China,health clinics,2035,49,"Shanghai, China",China,,,,True
Yuan Zhimin & family,1.5,China,plastics,2035,60,"Guangzhou, China",China,Married,2,"Master of Science, Bejing Insitute of Technology",True
Zeng Chaolin,1.5,China,Aluminium,2035,38,"Yongzhou, China",China,,,,False
Zhong Sheng Jian,1.5,Singapore,real estate,2035,63,"Singapore, Singapore",Singapore,Married,5,,True
Zhou Jian,1.5,China,robotics,2035,44,"Shenzhen, China",China,,,,True
Zhu Yiming,1.5,China,semiconductors,2035,48,"Beijing, China",China,,,,True
Zhuang Kuilong & family,1.5,China,polyester,2035,58,"Jiaxing, China",China,Married,,,True
Anu Aga,1.4,India,engineering,2141,78,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Bombay University",False
Farkhad Akhmedov,1.4,Russia,investments,2141,65,"Moscow, Russia",Russia,Divorced,3,,True
Alberto Alcocer,1.4,Spain,investments,2141,78,"Madrid, Spain",Spain,Married,5,"Doctor of Jurisprudence, Universidad Complutense de Madrid",True
Alexandra Andresen,1.4,Norway,investments,2141,24,"Oslo, Norway",Norway,Single,,,False
Katharina Andresen,1.4,Norway,investments,2141,25,"Oslo, Norway",Norway,Single,,,False
Mori Arkin,1.4,Israel,pharmaceuticals,2141,68,"Herzliya Pituach, Israel",Israel,Married,3,"Bachelor of Arts/Science, Tel Aviv University",True
Clifford Asness,1.4,United States,money management,2141,54,"Greenwich, Connecticut",United States,Married,4,"Doctorate, University of Chicago; Master of Business Administration, University of Chicago; Bachelor of Arts/Science, University of Pennsylvania; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",True
Nigel Austin,1.4,Australia,retail,2141,50,"Melbourne, Australia",Australia,Married,6,,True
Ziv Aviram,1.4,Israel,automotive technology,2141,62,"Mevaseret Zion, Israel",Israel,,,,True
Louis Bacon,1.4,United States,hedge funds,2141,64,"Oyster Bay, New York",United States,Married,7,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Middlebury College",True
Samuel Barata,1.4,Brazil,drugstores,2141,83,"Rio de Janeiro, Brazil",Brazil,Married,,,True
Angela Bennett,1.4,Australia,mining,2141,77,"Perth, Australia",Australia,Married,7,,False
Maurizio Billi,1.4,Brazil,generic drugs,2141,63,"Sao Paulo, Brazil",Brazil,Married,,,False
Zadik Bino & family,1.4,Israel,"banking, oil",2141,77,"Tel Aviv, Israel",Israel,Married,3,"Diploma, High School",True
Anna Maria Braun,1.4,Germany,medical technology,2141,42,"Melsungen, Germany",Germany,Married,2,,False
Johanna Braun,1.4,Germany,medical technology,2141,41,"Melsungen, Germany",Germany,,,,False
Karl Friedrich Braun,1.4,Germany,medical technology,2141,38,"Melsungen, Germany",Germany,,,,False
Cai Hao & family,1.4,China,solar energy,2141,50,"Kunshan, China",China,Married,,,True
Binod Chaudhary,1.4,Nepal,diversified,2141,66,"Kathmandu, Nepal",Nepal,Married,3,,False
Chen Liying,1.4,China,package delivery,2141,45,"Shanghai, China",China,Married,,,True
Chen Qixing,1.4,China,electronics components,2141,61,"Shenzhen, China",China,,,,True
Chen Zhuolin,1.4,China,real estate,2141,59,"Zhongshan, China",China,Married,2,,True
Fernando Chico Pardo,1.4,Mexico,airport management,2141,69,"Mexico City, Mexico",Mexico,Married,3,"Master of Business Administration, Kellogg School of Management; Bachelor of Business Administration, Universidad Iberoamericana",True
Jean-Paul Clozel,1.4,Switzerland,pharmaceuticals,2141,66,"Basel, Switzerland",Switzerland,Married,,,True
Jim Crane,1.4,United States,"logistics, baseball",2141,67,"Houston, Texas",United States,Married,3,"Bachelor of Arts/Science, Central Missouri State University",True
Ana Lucia de Mattos Barretto Villela,1.4,Brazil,banking,2141,47,"Sao Paulo, Brazil",Brazil,Married,,,False
Darwin Deason,1.4,United States,software,2141,80,"Dallas, Texas",United States,Divorced,3,"Diploma, High School",True
Sefik Yilmaz Dizdar,1.4,Turkey,fashion retail,2141,83,"Istanbul, Turkey",Turkey,Married,,,True
James Duff,1.4,United States,"tires, diversified",2141,60,"Hattiesburg, Mississippi",United States,Married,2,,True
Thomas Duff,1.4,United States,"tires, diversified",2141,64,"Hattiesburg, Mississippi",United States,Divorced,2,"Bachelor of Arts/Science, University of Southern Mississippi",True
Keith Dunleavy & family,1.4,United States,health IT,2141,51,"Annapolis, Maryland",United States,Married,4,"Bachelor of Arts/Science, Dartmouth College; Medical Doctor, Harvard University",True
Fang Zhancheng,1.4,China,soy sauce,2141,,"Foshan, China",China,,,,True
Lloyd Frink,1.4,United States,Zillow,2141,56,"Seattle, Washington",United States,Married,2,"Bachelor of Arts/Science, Stanford University",True
Gao Yunfeng,1.4,China,industrial lasers,2141,54,"Shenzhen, China",China,,,"Master of Business Administration, Peking University",True
Jayme Garfinkel,1.4,Brazil,insurance,2141,75,"Sao Paulo, Brazil",Brazil,Divorced,2,"Master of Business Administration, Fundacao Getulio Vargas; Bachelor of Arts/Science, Universidade de Sao Paulo",False
Balkrishan Goenka,1.4,India,textiles,2141,54,"Mumbai, India",India,Married,2,,True
Jitse Groen,1.4,Netherlands,food delivery service,2141,42,Netherlands,Netherlands,,,"Bachelor of Business Administration, University of Twente",True
Mimi Haas,1.4,United States,Levi's jeans,2141,74,"San Francisco, California",United States,Widowed,,"Bachelor of Arts/Science, George Washington University",False
Richard Hayne,1.4,United States,Urban Outfitters,2141,73,"Philadelphia, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, Lehigh University",True
He Ningning,1.4,China,electronic components,2141,50,"Shenzhen, China",China,,,,True
He Yamin & family,1.4,China,manufacturing,2141,64,"Chengdu, China",China,,,,True
Timothy Headington,1.4,United States,"oil & gas, investments",2141,71,"Dallas, Texas",United States,Single,,"Bachelor of Arts/Science, University of Oklahoma",False
Christian Herz,1.4,Germany,coffee,2141,,,Germany,,,,False
Michaela Herz,1.4,Germany,coffee,2141,,,Germany,,,,False
Daniel Hirschfeld,1.4,United States,fashion retail,2141,79,"Kearney, Nebraska",United States,Married,3,,False
Francis Holder,1.4,France,bakeries,2141,80,"Lille, France",France,Married,3,,True
Hu Chengzhong,1.4,China,manufacturing,2141,60,"Wenzhou, China",China,,,,True
Hu Gengxi & family,1.4,China,Bio-Pharma,2141,57,"Shanghai, China",China,Married,,,True
Huang Hongyun & family,1.4,China,real estate,2141,54,"Chongqing, China",China,Married,2,"EMBA, Chongqing Universtiy",True
Huang Jian,1.4,China,home appliance,2141,54,"Shunde, China",China,,,,True
Huang Weibin,1.4,China,home appliances,2141,53,"Haining, China",China,,,,True
Huang Xiaofen & family,1.4,China,printed circuit boards,2141,59,"Shenzhen, China",China,Married,,,True
Archie Hwang,1.4,Taiwan,semiconductors,2141,68,"Taipei, Taiwan",Taiwan,Married,,"Bachelor of Arts/Science, National Chiao Tung University",True
Jay-Z,1.4,United States,Multiple,2141,51,"New York, New York",United States,Married,3,,True
Johan Johannson,1.4,Norway,grocery stores,2141,54,"Oslo, Norway",Norway,Married,3,,False
Scott Kapnick,1.4,United States,private equity,2141,62,"Naples, Florida",United States,,,"Doctor of Jurisprudence, The University of Chicago; Master of Business Administration, The University of Chicago; Bachelor of Arts/Economics, Williams College",True
Sidney Kimmel,1.4,United States,retail,2141,93,"New York, New York",United States,Married,,"Drop Out, Temple University",True
Christine Knauf,1.4,Germany,building materials,2141,,,Germany,,,,False
Karl Knauf,1.4,Germany,building materials,2141,,,Germany,,,,False
Andrei Kosogov,1.4,Russia,Banking,2141,60,"Moscow, Russia",Russia,Married,3,"Bachelor of Science in Engineering, Moscow Power Engineering Institute",True
Guilherme Peirao Leal,1.4,Brazil,cosmetics,2141,71,"Sao Paulo, Brazil",Brazil,Divorced,5,"Bachelor of Arts/Science, Universidade de Sao Paulo",True
Theodore Leonsis,1.4,United States,sports teams,2141,65,"Bethesda, Maryland",United States,Married,2,,True
Li Denghai,1.4,China,seed production,2141,71,"Laizhou, China",China,Married,,,True
Liang Qin & family,1.4,China,semiconductor devices,2141,49,"Yangzhou, China",China,Married,,,True
Liang Yaoming,1.4,China,diagnostics,2141,57,"Guangzhou, China",China,,,,True
Liu Hua,1.4,China,infant formula,2141,48,"Qiqihaer, China",China,,,,True
Liu Xuejing & family,1.4,China,"copper, poultry",2141,70,"Liaocheng, China",China,Married,,,True
Anatoly Lomakin,1.4,Russia,investments,2141,68,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Moscow Institute of International Relations",True
Lu Rongfu,1.4,China,telecommunication,2141,50,"Xiamen, China",China,,,,True
Antonio Marcegaglia,1.4,Italy,steel,2141,57,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University",False
Emma Marcegaglia,1.4,Italy,steel,2141,55,"Mantua, Italy",Italy,,,"Bachelor of Business Administration, Bocconi University; Master of Business Administration, New York University",False
Ilson Mateus,1.4,Brazil,supermarkets,2141,58,"Sao Luis, Brazil",Brazil,Married,3,,True
Terence (Terry) Matthews,1.4,Canada,telecom,2141,78,"Ottawa, Canada",Canada,Married,4,"Doctorate, Carleton College; Bachelor of Arts/Science, University of Wales",True
Trevor Milton,1.4,United States,★,2141,39,"Phoenix, Arizona",United States,Married,,"Drop Out, Utah Valley University",True
Nirmal Minda,1.4,India,auto parts,2141,63,"Gurgaon, India",India,Married,2,,False
Robert Mouawad,1.4,Lebanon,fine jewelry,2141,76,"Manama, Bahrain",Lebanon,Married,3,,False
Judith Neilson,1.4,Australia,investments,2141,75,"Sydney, Australia",Australia,Divorced,2,,False
Kerr Neilson,1.4,Australia,Investments,2141,71,"Sydney, Australia",Australia,Divorced,2,"Bachelor of Arts/Science, University of Cape Town",True
Vadim Novinsky,1.4,Ukraine,steel,2141,57,"Kiev, Ukraine",Ukraine,Married,3,"Bachelor of Arts/Science, Academy of Civil Aviation (Leningrad)",True
John Ocampo,1.4,United States,semiconductors,2141,62,"Los Altos, California",United States,Married,3,"Bachelor of Engineering, Santa Clara University",True
Jonathan Oringer,1.4,United States,stock photos,2141,47,"Miami Beach, Florida",United States,Single,,"Master of Science, Columbia University; Bachelor of Arts/Science, SUNY Stony Brook",True
Andreas Pohl,1.4,Germany,mutual funds,2141,56,"Marburg, Germany",Germany,Married,3,,False
"Reinfried Pohl, Jr.",1.4,Germany,mutual funds,2141,61,"Marburg, Germany",Germany,Married,5,,False
Qi Jinxing,1.4,China,real estate,2141,59,"Hangzhou, China",China,Married,1,,True
Qian Jinghong,1.4,China,electric scooters,2141,48,"Wuxi, China",China,Married,,,True
Vito Rodriguez Rodriguez,1.4,Peru,processed milk,2141,82,"Lima, Peru",Peru,Married,3,,True
Oliver Samwer,1.4,Germany,tech investments,2141,47,"Munich, Germany",Germany,Married,3,"Bachelor of Arts/Science, WHU - Otto Beisheim School of Management",True
Martin Selig,1.4,United States,real estate,2141,83,"Seattle, Washington",United States,Married,3,"Bachelor of Arts/Science, University of Washington",True
Airat Shaimiev,1.4,Russia,"refinery, chemicals",2141,59,"Kazan, Russia",Russia,,,"Bachelor of Arts/Science, Moscow Power Engineering Institute, Kazan",True
Amnon Shashua,1.4,Israel,automotive technology,2141,60,"Kfar Shmaryahu, Israel",Israel,,,,True
Nobutoshi Shimamura,1.4,Japan,retail,2141,95,"Saitama, Japan",Japan,Married,3,,True
Michael Spencer,1.4,United Kingdom,stock exchange,2141,65,"London, Suffolk, United Kingdom",United Kingdom,Married,3,"Bachelor of Arts/Science, Oxford University",True
Edward Stack,1.4,United States,Dick's Sporting Goods,2141,66,"Sewickley, Pennsylvania",United States,Married,,"Bachelor of Arts/Science, St. John Fisher College",True
Thomas Steyer,1.4,United States,hedge funds,2141,63,"San Francisco, California",United States,Separated,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",True
Tan Ruiqing,1.4,China,chemicals,2141,54,"Zhengzhou, China",China,Married,,,True
Itaru Tanimura,1.4,Japan,heathcare,2141,56,"Tokyo, Japan",Japan,,,,True
Sukanto Tanoto,1.4,Indonesia,diversified,2141,71,"Singapore, Singapore",Indonesia,Married,4,,True
Alexander Tedja,1.4,Indonesia,real estate,2141,75,"Jakarta, Indonesia",Indonesia,Married,4,,True
Jim Thompson,1.4,United States,logistics,2141,81,"Hong Kong, Hong Kong",United States,Married,2,"Bachelor of Arts/Science, San Jose State University",True
Jonathan Tisch,1.4,United States,"insurance, NFL team",2141,67,"New York, New York",United States,Married,2,,False
Wilma Tisch,1.4,United States,diversified,2141,93,"New York, New York",United States,Widowed,4,"Bachelor of Arts/Science, Skidmore College",False
Gisele Trajano,1.4,Brazil,retail,2141,,,Brazil,Single,,,False
Jayshree Ullal,1.4,United States,computer networking,2141,60,"Saratoga, California",United States,Married,2,"Bachelor of Arts/Science, San Francisco State University; Master of Science, Santa Clara University",True
Vardis Vardinoyannis & family,1.4,Greece,oil and gas,2141,88,"Athens, Greece",Greece,,5,,True
Sunny Varkey,1.4,India,education,2141,64,"Dubai, United Arab Emirates",India,Married,2,,False
Wang Jianfeng & family,1.4,China,auto parts,2141,,"Ningbo, China",China,,,,True
Wang Junjin,1.4,China,airline,2141,52,"Shanghai, China",China,,,,True
Wang Mingwang,1.4,China,electronics components,2141,54,"Shenzhen, China",China,Married,,"EMBA, Sun Yat-sen University",True
Wang Xiaoshen,1.4,China,lithium,2141,52,"Urumchi, China",China,,,,True
Werner O. Weber,1.4,Switzerland,electronic components,2141,82,"Zurich, Switzerland",Switzerland,,,,True
Drorit Wertheim,1.4,Israel,Coca Cola Israel,2141,65,"Bnei Atarot, Israel",Israel,Divorced,2,,False
"Alfred West, Jr.",1.4,United States,money management,2141,78,"Paoli, Pennsylvania",United States,Married,3,"Bachelor of Arts/Science, Georgia Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",True
Wu Po Sum,1.4,China,real estate,2141,70,"Zhengzhou, China",China,Married,,,True
Xie Ketao,1.4,China,education,2141,57,"Guangzhou, China",China,,,,True
Swift Xie,1.4,China,drones,2141,41,"Shenzhen, China",China,,,,True
Yu Guo,1.4,China,education,2141,59,"Nanchang, China",China,,,,True
"Richard Yuengling, Jr.",1.4,United States,beer,2141,78,"Pottsville, Pennsylvania",United States,Divorced,4,"Drop Out, Lycoming College",False
Clayton Zekelman,1.4,Canada,steel,2141,52,"Windsor, Canada",Canada,,,,False
Zheng Hong & family,1.4,China,electronics,2141,70,"Beijing, China",China,,,,True
Shusheng Zheng,1.4,China,telecom,2141,55,"Hangzhou, China",China,,,"Doctorate, Zhejiang University",True
Zhuo Jun,1.4,Hong Kong,printed circuit boards,2141,55,"Hong Kong, Hong Kong",Hong Kong,Widowed,,,False
Inigo Zobel,1.4,Philippines,Diversified,2141,64,"Makati, Philippines",Philippines,,,,False
Sanjay Agarwal,1.3,India,banking,2263,50,"Jaipur, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India",True
Hamad bin Jassim bin Jaber Al Thani,1.3,Qatar,investments,2263,61,"Doha, Qatar",Qatar,Married,,,False
Nerio Alessandri,1.3,Italy,gym equipment,2263,60,"Cesena, Italy",Italy,Married,2,,True
Mika Anttonen,1.3,Finland,oil & gas,2263,54,"Helsinki, Finland",Finland,Married,,,True
Ryuji Arai,1.3,Japan,appliances,2263,74,"Tokyo, Japan",Japan,,,,True
Mehmet Aydinlar,1.3,Turkey,hospitals,2263,64,"Istanbul, Turkey",Turkey,Married,1,,True
Achal Bakeri,1.3,India,air coolers,2263,61,"Ahmedabad, India",India,Married,2,"Master of Business Administration, Marshall School of Business",True
Elena Baturina,1.3,Russia,"investments, real estate",2263,58,"London, United Kingdom",Russia,Widowed,2,"Bachelor of Arts/Science, State University of Management",True
Othman Benjelloun & family,1.3,Morocco,"banking, insurance",2263,88,"Casablanca, Morocco",Morocco,Married,2,"Diploma, Ecole Polytechnique de Lausanne",False
Oleg Boyko,1.3,Russia,diversified,2263,56,"Lipperswil, Switzerland",Russia,Single,,"Master of Science, Moscow Aviation University; Master of Business Administration, Russian National Academy of National Economy and Public Administration",True
Ludwig Theodor Braun,1.3,Germany,medical technology,2263,31,"Melsungen, Germany",Germany,,,,False
Ana Maria Brescia Cafferata,1.3,Peru,"mining, banking",2263,97,"Lima, Peru",Peru,Single,,,False
Chris Britt,1.3,United States,fintech,2263,48,"San Francisco, California",United States,,,"Bachelor of Arts/Science, Tulane University",True
Rafal Brzoska,1.3,Poland,parcel lockers,2263,43,"Warsaw, Poland",Poland,,,,True
Chuck Bundrant,1.3,United States,fishing,2263,79,"Seattle, Washington",United States,Married,3,"Drop Out, Middle Tennessee State University",True
Pradip Burman,1.3,India,consumer goods,2263,78,"Delhi, India",India,Married,2,"Bachelor of Engineering, Massachusetts Institute of Technology",False
Cao Xiaochun,1.3,China,pharmaceuticals,2263,52,"Hangzhou, China",China,,,,True
Chang Pyung-soon,1.3,South Korea,educational services,2263,70,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Yonsei University",True
Jeffrey Cheah,1.3,Malaysia,property,2263,76,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"Bachelor of Arts/Science, Victoria University",True
Vivien Chen,1.3,Hong Kong,real estate,2263,62,"Hong Kong, Hong Kong",Hong Kong,,3,,False
Cheng Lili,1.3,China,poultry breeding,2263,56,"Changzhou, China",China,Married,,,True
Cho Jung-ho,1.3,South Korea,finance,2263,62,"Seoul, South Korea",South Korea,Married,3,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California",False
Cho Jyh-jer,1.3,Taiwan,semiconductors,2263,,,Taiwan,Married,2,,True
Chu Jian,1.3,China,Manufacturing,2263,58,"Hangzhou, China",China,,,,True
Eduard Chukhlebov,1.3,Russia,metallurgy,2263,57,"Moscow, Russia",Russia,Married,,,True
Turgay Ciner,1.3,Turkey,diversified,2263,65,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Istanbul Academy",True
Tim Cook,1.3,United States,Apple,2263,60,"Cupertino, California",United States,,,"Master of Business Administration, Fuqua School of Business",True
Richard Desmond,1.3,United Kingdom,publishing,2263,69,"London, United Kingdom",United Kingdom,Married,3,,True
Du Shuanghua,1.3,China,steel,2263,56,"Hengshui, China",China,,,,True
Egon Durban,1.3,United States,private equity,2263,47,"Atherton, California",United States,Married,3,"Bachelor of Science, Georgetown University",True
Eduardo Eurnekian,1.3,Argentina,"airports, investments",2263,88,"Buenos Aires, Argentina",Argentina,Single,,,True
Fan Minhua,1.3,China,pharmaceuticals,2263,59,"Haikou, China",China,Married,,,True
Feng Chenhui,1.3,United States,Electronics,2263,55,"Wuxi, China",United States,,,"Master, Tsinghua University",True
Feng Yi,1.3,China,software,2263,47,"Shenzhen, China",China,,,,True
John Goff,1.3,United States,real estate,2263,66,"Fort Worth, Texas",United States,Married,,"Chartered Accountant, University of Texas",True
Kenneth Hao,1.3,United States,private equity,2263,52,"Hillsborough, California",United States,,,,True
Ayman Hariri,1.3,Lebanon,"construction, investments",2263,42,"Paris, France",Lebanon,Married,3,"Bachelor of Arts/Science, Georgetown University",False
Michael Heine,1.3,Australia,financial services,2263,71,"Melbourne, Australia",Australia,,2,,True
Eduardo Hochschild,1.3,Peru,mining,2263,57,"Lima, Peru",Peru,Married,4,"Bachelor of Arts/Science, Tufts University",False
Huang Dawen,1.3,Hong Kong,silicon,2263,60,"Hong Kong, Hong Kong",Hong Kong,,,,True
Huang Shan,1.3,China,software,2263,,,,,,,
Jiang Ganjun,1.3,China,home & office products,2263,57,"Guangzhou, China",China,,,,True
Conni Jonsson,1.3,Sweden,asset management,2263,60,"Stockholm, Sweden",Sweden,Married,,,True
Zbigniew Juroszek & family,1.3,Poland,"real estate, gambling",2263,58,"Cieszyn, Poland",Poland,,,,True
André Kasprzak,1.3,Denmark,shoes,2263,34,Denmark,Denmark,,,,False
Anna Kasprzak,1.3,Denmark,shoes,2263,31,"Haderslev, Denmark",Denmark,In Relationship,1,,False
Peter Kelly,1.3,United Kingdom,I.T.,2263,63,"Bristol, United Kingdom",United Kingdom,Married,,,True
Kim Nam-jung,1.3,South Korea,food,2263,48,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Korea University; Master of Business Administration, University of Michigan, Stephen M. Ross School of Business",False
Hemendra Kothari,1.3,India,Financial Services,2263,74,"Mumbai, India",India,Widowed,2,"Bachelor of Arts/Economics, Bombay University",False
Michael Krasny,1.3,United States,retail,2263,67,"Highland Park, Illinois",United States,Married,1,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",True
Igor Kudryashkin,1.3,Russia,metallurgy,2263,59,"Moscow, Russia",Russia,Married,1,"Ph.D, Moscow Institute of Steel and Alloys",True
Bernard Lewis & family,1.3,United Kingdom,fashion retailer,2263,95,"London, United Kingdom",United Kingdom,,,,True
Li Tan,1.3,China,pharmaceuticals,2263,56,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",True
Liang Guangwei,1.3,China,conglomerate,2263,57,"Shenzhen, China",China,,,,True
Liang Jiankun & family,1.3,China,cobalt mining,2263,59,"Nanjing, China",China,,,,True
Liu Jilu & family,1.3,China,Logistics,2263,74,"Maanshan, China",China,,,,True
Mangal Prabhat Lodha,1.3,India,real estate,2263,65,"Mumbai, India",India,Married,2,,True
Brandt Louie,1.3,Canada,drugstores,2263,77,"Vancouver, Canada",Canada,Married,2,,False
Lu Hongyan,1.3,China,online games,2263,43,"Xiamen, China",China,,,,True
Zhaoxi Lu,1.3,China,e-commerce,2263,52,"Hangzhou, China",China,,,,True
Ma Renhe,1.3,China,"textiles, apparel",2263,61,"Ningbo, China",China,,,,True
Deepak Mehta,1.3,India,chemicals,2263,64,"Vadodara, India",India,Married,2,"Bachelor of Science, Bombay University",False
Ulrike Meister,1.3,Germany,appliances,2263,54,"Landsberg, Germany",Germany,,,,False
Lidiya Mikhailova & family,1.3,Russia,agribusiness,2263,63,"London, United Kingdom",Russia,Divorced,2,,True
Alan Miller & family,1.3,United States,healthcare services,2263,,,,,,,
Martin Moller Nielsen,1.3,Denmark,aircraft leasing,2263,56,"London, United Kingdom",Denmark,Single,,,True
Greg Mondre,1.3,United States,private equity,2263,46,"New York, New York",United States,Married,,,True
Yoshiko Mori,1.3,Japan,real estate,2263,80,"Tokyo, Japan",Japan,Widowed,2,,False
Bob Muglia,1.3,United States,software,2263,61,"Mercer Island, Washington",United States,Married,1,"Bachelor of Science, University of Michigan",True
George Alexander Muthoot,1.3,India,financial services,2263,65,"Ernakulam, India",India,Married,2,"Chartered Accountant, Institute of Chartered Accountants of India; Bachelor of Commerce, University of Kerala",False
George Jacob Muthoot,1.3,India,financial services,2263,68,"Trivandrum, India",India,Married,2,"Bachelor of Science in Engineering, Manipal University",False
George Thomas Muthoot,1.3,India,financial services,2263,70,"Kottayam, India",India,Married,2,,False
Ranjan Pai,1.3,India,education,2263,48,"Bangalore, India",India,Married,2,,False
Antonio Percassi,1.3,Italy,"real estate, diversified",2263,67,"Bergamo, Italy",Italy,Divorced,6,,True
Stefan Pierer,1.3,Austria,automotive,2263,64,"Wels, Austria",Austria,,,"Bachelor of Arts/Science, Montan University",True
Qiu Minxiu,1.3,China,semiconductors,2263,75,"Shangyu, China",China,,,,True
Lily Safra,1.3,Monaco,banking,2263,83,"Geneva, Switzerland",Monaco,Widowed,2,,False
Nobutada Saji,1.3,Japan,beverages,2263,75,"Tokyo, Japan",Japan,Married,,"Master of Business Administration, Anderson School of Management",False
Thomas Sandell,1.3,Sweden,hedge funds,2263,60,"London, United Kingdom",Sweden,Married,1,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Uppsala University",True
Penny Sanford,1.3,United States,real estate brokerage,2263,55,"Bellingham, Washington",United States,,,,False
Ilya Scherbovich,1.3,Russia,investments,2263,46,"Moscow, Russia",Russia,Married,2,"Master of Science, Plekhanov Russian University of Economics",True
Gerald Schwartz,1.3,Canada,finance,2263,79,"Toronto, Canada",Canada,Married,4,"Master of Business Administration, Harvard University",True
Anatoly Sedykh,1.3,Russia,steel pipes,2263,56,"Moscow, Russia",Russia,Married,2,"Bachelor of Science in Engineering, Moscow Institute of Steel and Alloys",True
Radik Shaimiev,1.3,Russia,"refinery, chemicals",2263,56,"Kazan, Russia",Russia,Married,2,"Bachelor of Arts/Science, Kazan Institute of Civil Engineering",True
Shao Xiaofeng,1.3,China,e-commerce,2263,55,"Hangzhou, China",China,,,,True
Shi Xu,1.3,Singapore,technology,2263,57,"Singapore, Singapore",Singapore,Married,,,True
Shin Chang-jae,1.3,South Korea,insurance,2263,67,"Seoul, South Korea",South Korea,Married,2,"Doctorate, Seoul National University",False
Ron Sim,1.3,Singapore,retail,2263,62,"Singapore, Singapore",Singapore,Married,3,,True
Jasminder Singh & family,1.3,United Kingdom,hotels,2263,70,"London, United Kingdom",United Kingdom,Married,,,True
Jared Smith,1.3,United States,cloud computing,2263,46,"Provo, Utah",United States,,,"Bachelor of Science, London School of Economics",True
Terry Snow,1.3,Australia,"airports, real estate",2263,77,"Canberra, Australia",Australia,Married,4,,True
Petter Stordalen & family,1.3,Norway,hotels,2263,58,"Oslo, Norway",Norway,Married,,,True
Dirk Stroeer,1.3,Germany,advertising,2263,52,"Cologne, Germany",Germany,,,,False
Satoshi Suzuki,1.3,Japan,cosmetics,2263,67,"Tokyo, Japan",Japan,Married,,,False
Tang Zhuang,1.3,United States,electronics,2263,48,"Wuxi, China",United States,,,"Bachelor of Arts/Science, Peking University; Doctorate, Univeristy of Illinois at Urbana-Champaign",True
Joop van den Ende,1.3,Netherlands,TV shows,2263,79,"Baarn, Netherlands",Netherlands,Married,2,,True
Masaru Wasami,1.3,Japan,logistics,2263,75,Japan,Japan,,,,True
Wei Shaojun,1.3,China,real estate,2263,58,"Baoding, China",China,,,,True
Farris Wilks,1.3,United States,natural gas,2263,69,"Cisco, Texas",United States,Married,11,"Diploma, High School",True
